W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID,CyYoung
22,9,34,34,28,13,0,914,198,38,11,62,268,0.18,1.12,6,4,7,0,1161,0,49,0,0,0,1968,0
22,9,34,34,28,13,0,914,198,38,11,62,268,0.18,1.12,6,4,7,0,1161,0,49,0,0,0,1968,0
24,9,38,38,13,3,0,912,243,79,15,90,286,0.21,2.34,12,17,2,7,1228,0,87,0,0,0,1980,0
24,9,38,38,13,3,0,912,243,79,15,90,286,0.21,2.34,12,17,2,7,1228,0,87,0,0,0,1980,0
20,14,43,41,12,1,0,911,321,105,20,77,142,0.27,3.11,0,0,9,2,1279,1,121,0,0,0,1975,0
20,14,43,41,12,1,0,911,321,105,20,77,142,0.27,3.11,0,0,9,2,1279,1,121,0,0,0,1975,0
20,14,39,39,24,3,0,909,267,95,19,97,113,0.23,2.82,11,6,6,0,1244,0,105,0,0,0,1969,0
20,11,39,39,19,2,0,909,284,113,23,91,186,0.24,3.36,4,9,2,1,1253,0,129,0,0,0,1977,0
17,15,40,40,16,6,0,907,241,77,18,73,253,0.21,2.29,20,4,13,1,1216,0,94,0,0,0,1967,0
20,13,41,39,18,6,1,907,249,80,19,88,195,0.22,2.38,3,6,6,4,1219,1,91,0,0,0,1974,0
17,16,40,40,17,4,0,905,272,104,16,81,206,0.24,3.1,3,14,5,1,1235,0,122,0,0,0,1977,0
20,14,41,41,18,3,0,900,268,83,21,73,181,0.23,2.49,8,5,6,0,1220,0,102,0,0,0,1969,0
21,11,37,36,27,8,0,899,244,70,15,54,205,0.22,2.1,7,5,6,2,1176,1,90,0,0,0,1969,0
19,16,37,37,22,4,0,897,198,92,12,204,341,0.19,2.77,7,21,9,3,1272,0,110,0,0,0,1977,0
19,16,37,37,22,4,0,897,198,92,12,204,341,0.19,2.77,7,21,9,3,1272,0,110,0,0,0,1977,0
17,15,36,36,21,2,0,896,268,117,28,68,173,0.24,3.53,5,6,3,0,1210,0,126,0,0,0,1976,0
18,13,37,37,20,6,0,895,268,78,9,63,166,0.23,2.35,3,5,1,1,1205,0,90,0,0,0,1976,0
24,8,40,40,21,4,0,893,273,115,34,69,190,0.24,3.48,5,6,1,1,1214,0,126,0,0,0,1970,0
21,13,40,40,16,4,0,892,275,98,22,66,157,0.24,2.97,5,12,4,0,1210,0,109,0,0,0,1973,0
22,9,38,37,19,6,1,889,225,79,16,113,158,0.21,2.4,5,7,3,0,1190,1,86,0,0,0,1973,0
22,9,38,37,19,6,1,889,225,79,16,113,158,0.21,2.4,5,7,3,0,1190,1,86,0,0,0,1973,0
21,12,38,38,19,6,0,888,246,81,19,97,138,0.22,2.46,1,5,1,1,1197,0,94,0,0,0,1978,0
24,9,40,40,16,1,0,888,277,106,29,78,185,0.25,3.22,3,8,7,0,1218,0,114,0,0,0,1970,0
21,12,38,38,19,6,0,888,246,81,19,97,138,0.22,2.46,1,5,1,1,1197,0,94,0,0,0,1978,0
18,13,40,39,17,4,1,887,267,101,26,76,158,0.24,3.07,9,9,3,0,1198,1,111,0,0,0,1974,0
23,11,38,38,19,6,0,887,253,102,17,86,286,0.23,3.1,5,9,1,9,1193,0,114,0,0,0,1982,0
23,11,38,38,19,6,0,887,253,102,17,86,286,0.23,3.1,5,9,1,9,1193,0,114,0,0,0,1982,0
21,7,38,37,16,5,0,886,200,67,21,70,191,0.18,2.04,6,3,3,0,1148,1,74,0,0,0,1972,0
21,17,40,40,20,4,0,884,283,109,27,78,183,0.25,3.33,7,12,9,0,1218,0,125,0,0,0,1978,0
17,16,39,39,20,3,0,884,243,103,20,146,251,0.22,3.15,11,10,5,2,1243,0,112,0,0,0,1971,0
23,7,34,34,23,3,0,882,262,102,13,88,274,0.23,3.12,9,5,4,1,1213,0,111,0,0,0,1970,0
23,7,34,34,23,3,0,882,262,102,13,88,274,0.23,3.12,9,5,4,1,1213,0,111,0,0,0,1970,0
23,7,34,34,23,3,0,882,262,102,13,88,274,0.23,3.12,9,5,4,1,1213,0,111,0,0,0,1970,0
20,13,37,37,20,1,0,881,257,109,30,83,232,0.23,3.34,5,18,3,0,1204,0,117,0,0,0,1983,0
13,20,40,40,18,3,0,880,293,127,29,113,223,0.26,3.9,12,7,3,0,1262,0,146,0,0,0,1973,0
17,18,41,41,11,4,0,880,269,113,25,91,217,0.24,3.47,6,9,3,1,1226,0,123,0,0,0,1969,0
19,10,40,40,16,7,0,880,257,99,20,95,155,0.23,3.04,10,10,10,0,1205,0,112,0,0,0,1973,0
22,9,37,34,23,6,1,880,258,77,14,54,131,0.23,2.36,3,8,7,1,1176,1,90,0,0,0,1978,0
15,17,39,37,18,3,1,879,231,85,20,84,230,0.21,2.61,17,13,4,1,1178,2,98,0,0,0,1967,0
20,12,38,37,21,5,1,878,246,99,18,79,244,0.22,3.04,0,14,8,2,1186,1,117,0,0,0,1977,0
14,15,38,38,12,2,0,878,287,112,14,94,138,0.25,3.44,12,11,6,1,1235,0,126,0,0,0,1976,0
20,6,39,39,13,3,0,877,227,84,24,94,221,0.21,2.59,0,6,3,3,1179,0,93,0,0,0,1974,0
20,9,38,38,21,4,0,877,250,100,30,78,124,0.23,3.08,1,3,1,0,1166,0,111,0,0,0,1971,0
22,14,38,38,20,3,0,877,284,110,14,92,198,0.25,3.39,6,5,9,2,1220,0,118,0,0,0,1974,0
15,16,40,39,18,3,0,877,279,119,28,78,132,0.25,3.66,1,9,1,2,1206,0,129,0,0,0,1979,0
18,13,38,38,19,4,0,877,220,88,13,98,313,0.2,2.71,5,19,3,1,1175,0,98,0,0,0,1979,0
20,6,39,39,13,3,0,877,227,84,24,94,221,0.21,2.59,0,6,3,3,1179,0,93,0,0,0,1974,0
16,16,43,39,15,6,1,876,224,82,15,63,234,0.21,2.53,8,12,10,1,1161,3,96,0,0,0,1968,0
16,20,43,43,14,2,0,874,309,133,26,92,140,0.27,4.11,5,6,5,2,1245,0,148,0,0,0,1975,0
16,13,39,39,17,1,0,873,249,104,21,136,240,0.23,3.22,8,11,5,4,1227,0,118,0,0,0,1974,0
16,15,39,38,19,3,1,873,240,79,10,59,173,0.22,2.44,12,6,4,0,1159,1,93,0,0,0,1968,0
20,15,39,39,14,3,0,873,221,89,14,151,214,0.21,2.75,4,13,4,2,1218,0,105,0,0,0,1976,0
18,12,37,36,19,2,0,872,230,91,21,83,283,0.21,2.82,8,6,4,0,1173,1,103,0,0,0,1970,0
23,11,39,39,18,5,0,872,213,77,18,79,182,0.2,2.38,7,3,1,2,1137,0,94,0,0,0,1969,0
19,12,35,33,28,2,0,870,276,105,29,64,102,0.25,3.26,6,7,1,1,1166,2,119,0,0,0,1980,0
19,10,36,36,18,3,0,870,219,67,23,64,251,0.2,2.08,5,5,4,0,1147,0,74,0,0,0,1973,0
20,13,38,38,20,3,0,868,230,90,30,83,236,0.21,2.8,8,2,4,0,1156,0,101,0,0,0,1967,0
20,12,36,36,23,5,0,868,253,103,32,62,184,0.23,3.2,7,3,7,1,1176,0,111,0,0,0,1972,0
23,15,40,40,13,2,0,865,283,113,32,93,202,0.25,3.53,2,6,10,0,1219,0,125,0,0,0,1973,0
17,17,39,39,14,5,0,865,298,103,19,52,152,0.27,3.22,10,4,2,0,1187,0,116,0,0,0,1967,0
17,14,38,38,19,5,0,865,271,104,27,75,141,0.24,3.25,4,3,5,1,1187,0,116,0,0,0,1982,0
19,10,34,34,23,2,0,865,212,78,24,73,261,0.2,2.43,5,5,9,0,1142,0,88,0,0,0,1976,0
17,14,38,38,19,5,0,865,271,104,27,75,141,0.24,3.25,4,3,5,1,1187,0,116,0,0,0,1982,0
